Марка,Модель,Год выпуска,Цена,Двигатель,Мощность,Коробка передач,Пробег,Владельцы,Поколение,Комплектация,URL,Возраст,Объем двигателя,Марка_код,Модель_код,Тип кузова_джип/suv 5 дв.,Тип кузова_купе,Тип кузова_лифтбек,Тип кузова_минивэн,Тип кузова_не указано,Тип кузова_открытый,Тип кузова_седан,Тип кузова_универсал,Тип кузова_хэтчбек 3 дв.,Тип кузова_хэтчбек 5 дв.,Привод_задний,Привод_передний,Тип КПП_вариатор,Тип КПП_робот,Тип топлива_гибрид,Тип топлива_дизель,Тип топлива_не указано,Руль_правый,Цвет_белый,Цвет_бордовый,Цвет_голубой,Цвет_желтый,Цвет_зеленый,Цвет_золотистый,Цвет_коричневый,Цвет_красный,Цвет_оранжевый,Цвет_розовый,Цвет_серебристый,Цвет_серый,Цвет_синий,Цвет_фиолетовый,Цвет_черный,Поколение_номер,Мощность/Объем,Новый,год,месяц,день,день_недели,квартал,день_года,викенд,сезон,дней_с_публикации
Ford,Focus,2006,300000,"бензин, 1.4 л",80,механика,270000,3,2 поколение,1073,https://auto.drom.ru/spb/ford/focus/184126612.html?from=recommend,19,1.4,25,197,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,57.142857142857146,0,2025,6,10,1,2,161,0,3,30
Volkswagen,Multivan,2007,2900000,"дизель, 2.5 л",174,механика,243000,4,5 поколение,719,https://auto.drom.ru/spb/volkswagen/multivan/396337310.html?from=recommend,18,2.5,79,328,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5,69.6,0,2025,7,3,3,3,184,0,3,7
BMW,X5,2019,5500000,"дизель, 3.0 л",249,АКПП,140000,1,4 поколение,1073,https://auto.drom.ru/spb/bmw/x5/921076571.html?from=recommend,6,3.0,5,515,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4,83.0,0,2025,6,20,4,2,171,0,3,20
BMW,Z4,2003,2300000,"бензин, 2.5 л",192,механика,83000,-1,1 поколение,728,https://auto.drom.ru/spb/bmw/z4/699735022.html?from=recommend,22,2.5,5,535,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,76.8,0,2025,6,28,5,2,179,1,3,12
Volkswagen,Golf,1992,150000,"бензин, 1.8 л",75,механика,200000,4,3 поколение,371,https://auto.drom.ru/spb/volkswagen/golf/574096615.html?from=recommend,33,1.8,79,232,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,41.666666666666664,0,2025,6,9,0,2,160,0,3,31
Kia,Ceed,2021,2000000,"бензин, 1.6 л",128,АКПП,99500,1,3 поколение,200,https://auto.drom.ru/spb/kia/cee~d/755189810.html?from=recommend,4,1.6,43,138,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,80.0,0,2025,7,2,2,3,183,0,3,8
Kia,Spectra,2007,330000,"бензин, 1.6 л",101,механика,282000,4,"1 поколение, рестайлинг",315,https://auto.drom.ru/spb/kia/spectra/699182312.html?from=recommend,18,1.6,43,439,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,63.125,0,2025,6,10,1,2,161,0,3,30
EXEED,RX,2023,2845000,"бензин, 2.0 л",249,робот,29500,1,1 поколение,582,https://auto.drom.ru/spb/cheryexeed/rx/851402099.html?from=recommend,2,2.0,22,385,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,124.5,0,2025,6,16,0,2,167,0,3,24
Nissan,X-Trail,2008,979000,"бензин, 2.0 л",141,вариатор,307384,2,2 поколение,1073,https://auto.drom.ru/spb/nissan/x-trail/447720504.html?from=recommend,17,2.0,57,508,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,70.5,0,2025,7,7,0,3,188,0,3,3
Mitsubishi,Outlander,2011,950000,"бензин, 2.4 л",170,вариатор,287000,1,"2 поколение, рестайлинг",1073,https://auto.drom.ru/spb/mitsubishi/outlander/919916812.html?from=recommend,14,2.4,54,351,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,70.83333333333334,0,2025,6,24,1,2,175,0,3,16
Volkswagen,Touareg,2019,7500000,"дизель, 3.0 л",249,АКПП,266880,2,3 поколение,793,https://auto.drom.ru/spb/volkswagen/touareg/733459369.html?from=recommend,6,3.0,79,472,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,83.0,0,2025,6,21,5,2,172,1,3,19
Lexus,RX300,2003,1200000,"бензин, 3.0 л",204,АКПП,268000,4,2 поколение,775,https://auto.drom.ru/spb/lexus/rx300/528693589.html?from=recommend,22,3.0,45,388,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2,68.0,0,2025,7,7,0,3,188,0,3,3
Toyota,Caldina,2003,1199000,"бензин, 2.0 л",260,АКПП,240000,3,3 поколение,1073,https://auto.drom.ru/spb/toyota/caldina/444241518.html?from=recommend,22,2.0,78,126,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,130.0,0,2025,6,30,0,2,181,0,3,10
Лада,Гранта,2016,409000,"бензин, 1.6 л",87,механика,62966,1,"1 поколение, рестайлинг",1073,https://auto.drom.ru/spb/lada/granta/858581742.html?from=recommend,9,1.6,87,545,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,54.375,0,2025,6,16,0,2,167,0,3,24
Saab,9-3,2003,1750000,"бензин, 2.0 л",210,АКПП,185000,4,2 поколение,610,https://auto.drom.ru/spb/saab/9-3/874124555.html?from=recommend,22,2.0,69,59,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,105.0,0,2025,6,27,4,2,178,0,3,13
Infiniti,EX25,2011,1450000,"бензин, 2.5 л",222,АКПП,225360,-1,1 поколение,686,https://auto.drom.ru/spb/infiniti/ex25/753397944.html?from=recommend,14,2.5,36,169,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,88.8,0,2025,7,4,4,3,185,0,3,6
