Марка,Модель,Год выпуска,Цена в г.Владивосток,Цена на аукционе,Двигатель,Мощность,Пробег,URL,Возраст,Марка_код,Модель_код,Коробка передач_механика,Коробка передач_не указано,Цвет_желтый,Цвет_зеленый,Цвет_золотой,Цвет_коричневый,Цвет_не указано,Цвет_оранжевый,Цвет_розовый,Цвет_серебристый,Цвет_серый,Цвет_синий,Цвет_фиолетовый,Цвет_черный,Новый,год,месяц,день,день_недели,квартал,день_года,викенд,сезон,дней_с_публикации
BMW,"3er  автомат, 2023, 5040",2023,2861419,2102730,2000,,5040,https://autosender.ru/avto-iz-kitaya/bmw/3er/19896383,2,4,317,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"e Golf  автомат, 2017, 6700",2017,2861419,507780,1400,,6700,https://autosender.ru/avto-iz-kitaya/volkswagen/e-golf/19896138,8,66,6926,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Lavida  механика, 2013, 9200",2013,2861419,334180,1600,,9200,https://autosender.ru/avto-iz-kitaya/volkswagen/lavida/19895394,12,66,4091,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Jetta  автомат, 2020, 5610",2020,2861419,692230,1200,,5610,https://autosender.ru/avto-iz-kitaya/volkswagen/jetta/19894948,5,66,3792,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"C-klasse  автомат, 2020, 7680",2020,2861419,1822800,1500,,7680,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse/19836571,5,49,1581,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,2025,3,7,4,1,66,0,2,125
BMW,"M3  автомат, 2023, 3800",2023,2861419,7983430,3000,,3800,https://autosender.ru/avto-iz-kitaya/bmw/m3/19908618,2,4,4157,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"S-klasse  автомат, 2022, 5900",2022,2861419,11826500,3000,,5900,https://autosender.ru/avto-iz-kitaya/mercedes-benz/s-klasse/19907251,3,49,5465,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Arteon  автомат, 2022, 3100",2022,2861419,1226050,1400,,3100,https://autosender.ru/avto-iz-kitaya/volkswagen/arteon/19904430,3,66,1326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Audi,"A7  автомат, 2023, 200",2023,2861419,4652480,2000,,200,https://autosender.ru/avto-iz-kitaya/audi/a7/19904248,2,2,949,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2025,3,7,4,1,66,0,2,125
BMW,"5er  автомат, 2022, 3300",2022,2861419,2818830,2000,,3300,https://autosender.ru/avto-iz-kitaya/bmw/5er/19902721,3,4,507,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
